# Experiment File Name : card ARV7 _1 01.01.22.sds;;;;;;;;;
# Created By :giulia.salva@gmail.com;;;;;;;;;
# Last Modified Date : 2022-02-10 09:46:08 AM;;;;;;;;;
# Instrument Type : 7900HT Real-Time PCR System;;;;;;;;;
;;;;;;;;;
Experiment Name;Barcode;Well;Target Name;Sample Name;Rn;dRn;Omit;Cycle Number;Passive Ref
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.387;0.06;false;1.0;2.734.159
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.382;0.05;false;2.0;2.758.676
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.372;0.035;false;3.0;2.763.735
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.37;0.028;false;4.0;2.788.933
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.378;0.03;false;5.0;2.784.734
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.392;0.039;false;6.0;2822.32
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.383;0.025;false;7.0;2.747.951
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.404;0.04;false;8.0;2796.85
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.397;0.028;false;9.0;2.803.255
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.401;0.027;false;10.0;2.835.724
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.409;0.03;false;11.0;2.861.536
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.409;0.025;false;12.0;2.922.349
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.374;-0.015;false;13.0;2.692.472
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.393;-0.001;false;14.0;2.706.125
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.376;-0.024;false;15.0;2.696.628
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.386;-0.019;false;16.0;2885.7
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.386;-0.024;false;17.0;2710.47
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.378;-0.037;false;18.0;2.572.624
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.377;-0.044;false;19.0;2.672.088
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.379;-0.047;false;20.0;2.766.525
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.393;-0.038;false;21.0;2.639.067
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.414;-0.022;false;22.0;2.904.818
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.382;-0.06;false;23.0;2.666.715
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.416;-0.031;false;24.0;2.815.518
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.372;-0.08;false;25.0;2.580.751
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.423;-0.034;false;26.0;2.993.379
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.406;-0.057;false;27.0;2.836.246
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.436;-0.031;false;28.0;2.958.498
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.443;-0.029;false;29.0;2.981.897
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.44;-0.038;false;30.0;2854.75
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.455;-0.028;false;31.0;2.939.992
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.489;0.001;false;32.0;2.984.686
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.499;0.005;false;33.0;3.011.639
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.525;0.027;false;34.0;2972.66
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.538;0.034;false;35.0;2.986.831
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.576;0.068;false;36.0;2.944.055
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.57;0.056;false;37.0;3.003.544
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.593;0.073;false;38.0;2.909.623
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.611;0.087;false;39.0;2.924.628
