# Experiment File Name : card ARV7 _3 07.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","119","-478577_mir","0.769","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A2","119","-477973_mir","1.431","Amp","UNKNOWN","30.672","30.065","0.859","-","-","-","-","-","-","-","true","0.269","true","3.0","26.0","false",
"A3","119","-477975_mir","1.398","Amp","UNKNOWN","24.623","24.548","0.106","-","-","-","-","-","-","-","true","0.278","true","3.0","19.0","false",
"A4","119","-477992_mir","1.416","Amp","UNKNOWN","25.965","25.759","0.291","-","-","-","-","-","-","-","true","0.347","true","3.0","19.0","false",
"A5","119","-478369_mir","1.368","Amp","UNKNOWN","27.270","27.099","0.241","-","-","-","-","-","-","-","true","0.294","true","3.0","21.0","false",
"A6","119","-478007_mir","1.295","Amp","UNKNOWN","26.586","26.071","0.729","-","-","-","-","-","-","-","true","0.159","true","3.0","22.0","false",
"A7","119","-478606_mir","1.009","Amp","UNKNOWN","25.286","25.286","-","-","-","-","-","-","-","-","true","0.049","true","3.0","24.0","false",
"A8","119","-478026_mir","0.0","Amp","UNKNOWN","Undetermined","31.197","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"A9","119","-478213_mir","0.781","Inconclusive","UNKNOWN","32.348","32.348","-","-","-","-","-","-","-","-","true","0.062","true","3.0","26.0","false",
"A10","119","-478343_mir","1.13","Amp","UNKNOWN","22.624","24.367","2.464","-","-","-","-","-","-","-","true","0.042","true","3.0","22.0","false",
"A11","119","-477860_mir","1.488","Amp","UNKNOWN","20.641","20.555","0.122","-","-","-","-","-","-","-","true","0.51","true","3.0","14.0","false",
"A12","119","-478225_mir","1.068","Amp","UNKNOWN","23.588","24.005","0.59","-","-","-","-","-","-","-","true","0.066","true","3.0","19.0","false",
"A13","119","-478412_mir","0.874","Amp","UNKNOWN","26.745","24.671","2.933","-","-","-","-","-","-","-","true","0.04","true","3.0","23.0","false",
"A14","119","-477885_mir","1.465","Amp","UNKNOWN","28.493","28.098","0.559","-","-","-","-","-","-","-","true","0.383","true","3.0","22.0","false",
"A15","119","-478501_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A16","119","-477916_mir","1.524","Amp","UNKNOWN","26.823","26.729","0.132","-","-","-","-","-","-","-","true","0.379","true","3.0","20.0","false",
"A17","119","-477925_mir","1.28","Amp","UNKNOWN","29.362","30.375","1.433","-","-","-","-","-","-","-","true","0.118","true","3.0","25.0","false",
"A18","119","-477967_mir","1.197","Amp","UNKNOWN","26.077","24.814","1.786","-","-","-","-","-","-","-","true","0.042","true","3.0","23.0","false",
"A19","119","-477982_mir","1.457","Amp","UNKNOWN","27.598","27.994","0.561","-","-","-","-","-","-","-","true","0.396","true","3.0","19.0","false",
"A20","119","-478323_mir","0.97","Amp","UNKNOWN","20.603","20.948","0.487","-","-","-","-","-","-","-","true","0.042","true","3.0","20.0","false",
"A21","119","-478074_mir","1.107","Amp","UNKNOWN","24.309","23.002","1.848","-","-","-","-","-","-","-","true","0.044","true","3.0","21.0","false",
"A22","119","-478350_mir","0.787","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A23","119","-477952_mir","1.401","Amp","UNKNOWN","25.948","25.448","0.708","-","-","-","-","-","-","-","true","0.181","true","3.0","21.0","false",
"A24","119","-478411_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.246","true","3.0","39.0","false",
"B1","119","-478577_mir","0.804","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"B2","119","-477973_mir","1.444","Amp","UNKNOWN","29.458","30.065","0.859","-","-","-","-","-","-","-","true","0.269","true","3.0","23.0","false",
"B3","119","-477975_mir","1.404","Amp","UNKNOWN","24.473","24.548","0.106","-","-","-","-","-","-","-","true","0.278","true","3.0","18.0","false",
"B4","119","-477992_mir","1.432","Amp","UNKNOWN","25.553","25.759","0.291","-","-","-","-","-","-","-","true","0.347","true","3.0","19.0","false",
"B5","119","-478369_mir","1.356","Amp","UNKNOWN","26.929","27.099","0.241","-","-","-","-","-","-","-","true","0.294","true","3.0","21.0","false",
"B6","119","-478007_mir","1.29","Amp","UNKNOWN","25.556","26.071","0.729","-","-","-","-","-","-","-","true","0.159","true","3.0","19.0","false",
"B7","119","-478606_mir","0.0","Amp","UNKNOWN","Undetermined","25.286","-","-","-","-","-","-","-","-","true","0.049","true","3.0","39.0","false",
"B8","119","-478026_mir","0.0","No Amp","UNKNOWN","31.197","31.197","-","-","-","-","-","-","-","-","true","0.04","true","3.0","20.0","false",
"B9","119","-478213_mir","0.811","Amp","UNKNOWN","Undetermined","32.348","-","-","-","-","-","-","-","-","true","0.062","true","3.0","39.0","false",
"B10","119","-478343_mir","1.126","Amp","UNKNOWN","26.109","24.367","2.464","-","-","-","-","-","-","-","true","0.042","true","3.0","23.0","false",
"B11","119","-477860_mir","1.467","Amp","UNKNOWN","20.469","20.555","0.122","-","-","-","-","-","-","-","true","0.51","true","3.0","12.0","false",
"B12","119","-478225_mir","1.044","Amp","UNKNOWN","24.423","24.005","0.59","-","-","-","-","-","-","-","true","0.066","true","3.0","21.0","false",
"B13","119","-478412_mir","0.847","Amp","UNKNOWN","22.597","24.671","2.933","-","-","-","-","-","-","-","true","0.04","true","3.0","22.0","false",
"B14","119","-477885_mir","1.446","Amp","UNKNOWN","27.702","28.098","0.559","-","-","-","-","-","-","-","true","0.383","true","3.0","20.0","false",
"B15","119","-478501_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"B16","119","-477916_mir","1.54","Amp","UNKNOWN","26.636","26.729","0.132","-","-","-","-","-","-","-","true","0.379","true","3.0","20.0","false",
"B17","119","-477925_mir","1.277","Amp","UNKNOWN","31.388","30.375","1.433","-","-","-","-","-","-","-","true","0.118","true","3.0","27.0","false",
"B18","119","-477967_mir","1.184","Amp","UNKNOWN","23.551","24.814","1.786","-","-","-","-","-","-","-","true","0.042","true","3.0","20.0","false",
"B19","119","-477982_mir","1.427","Amp","UNKNOWN","28.391","27.994","0.561","-","-","-","-","-","-","-","true","0.396","true","3.0","21.0","false",
"B20","119","-478323_mir","1.02","Amp","UNKNOWN","21.292","20.948","0.487","-","-","-","-","-","-","-","true","0.042","true","3.0","19.0","false",
"B21","119","-478074_mir","1.079","Amp","UNKNOWN","21.695","23.002","1.848","-","-","-","-","-","-","-","true","0.044","true","3.0","19.0","false",
"B22","119","-478350_mir","0.753","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"B23","119","-477952_mir","1.41","Amp","UNKNOWN","24.948","25.448","0.708","-","-","-","-","-","-","-","true","0.181","true","3.0","20.0","false",
"B24","119","-478411_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.246","true","3.0","39.0","false",
"C1","120","-478577_mir","0.864","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"C2","120","-477973_mir","0.992","No Amp","UNKNOWN","Undetermined","36.532","-","-","-","-","-","-","-","-","true","0.269","true","3.0","31.0","false",
"C3","120","-477975_mir","1.374","Amp","UNKNOWN","25.081","25.24","0.225","-","-","-","-","-","-","-","true","0.278","true","3.0","17.0","false",
"C4","120","-477992_mir","1.424","Amp","UNKNOWN","26.827","26.839","0.018","-","-","-","-","-","-","-","true","0.347","true","3.0","19.0","false",
"C5","120","-478369_mir","1.344","Amp","UNKNOWN","28.647","28.682","0.049","-","-","-","-","-","-","-","true","0.294","true","3.0","20.0","false",
"C6","120","-478007_mir","1.117","Amp","UNKNOWN","26.605","26.939","0.472","-","-","-","-","-","-","-","true","0.159","true","3.0","23.0","false",
"C7","120","-478606_mir","1.071","Amp","UNKNOWN","Undetermined","25.337","-","-","-","-","-","-","-","-","true","0.049","true","3.0","39.0","false",
"C8","120","-478026_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"C9","120","-478213_mir","1.041","Inconclusive","UNKNOWN","32.105","30.841","1.788","-","-","-","-","-","-","-","true","0.062","true","3.0","28.0","false",
"C10","120","-478343_mir","1.099","Amp","UNKNOWN","30.165","28.844","1.868","-","-","-","-","-","-","-","true","0.042","true","3.0","28.0","false",
"C11","120","-477860_mir","1.442","Amp","UNKNOWN","21.750","21.881","0.184","-","-","-","-","-","-","-","true","0.51","true","3.0","12.0","false",
"C12","120","-478225_mir","1.078","Amp","UNKNOWN","25.587","24.863","1.023","-","-","-","-","-","-","-","true","0.066","true","3.0","21.0","false",
"C13","120","-478412_mir","0.95","Amp","UNKNOWN","25.998","23.743","3.189","-","-","-","-","-","-","-","true","0.04","true","3.0","22.0","false",
"C14","120","-477885_mir","1.43","Amp","UNKNOWN","27.384","27.799","0.586","-","-","-","-","-","-","-","true","0.383","true","3.0","14.0","false",
"C15","120","-478501_mir","0.515","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"C16","120","-477916_mir","1.497","Amp","UNKNOWN","27.013","27.074","0.086","-","-","-","-","-","-","-","true","0.379","true","3.0","19.0","false",
"C17","120","-477925_mir","1.154","Amp","UNKNOWN","30.287","32.104","2.569","-","-","-","-","-","-","-","true","0.118","true","3.0","25.0","false",
"C18","120","-477967_mir","1.066","Amp","UNKNOWN","20.962","24.256","4.659","-","-","-","-","-","-","-","true","0.042","true","3.0","20.0","false",
"C19","120","-477982_mir","1.422","Amp","UNKNOWN","29.435","29.22","0.304","-","-","-","-","-","-","-","true","0.396","true","3.0","23.0","false",
"C20","120","-478323_mir","0.838","Inconclusive","UNKNOWN","Undetermined","22.38","-","-","-","-","-","-","-","-","true","0.042","true","3.0","39.0","false",
"C21","120","-478074_mir","1.16","Amp","UNKNOWN","22.398","22.055","0.486","-","-","-","-","-","-","-","true","0.044","true","3.0","19.0","false",
"C22","120","-478350_mir","0.927","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"C23","120","-477952_mir","1.389","Amp","UNKNOWN","26.513","25.958","0.785","-","-","-","-","-","-","-","true","0.181","true","3.0","21.0","false",
"C24","120","-478411_mir","1.091","Amp","UNKNOWN","25.865","27.123","1.78","-","-","-","-","-","-","-","true","0.246","true","3.0","17.0","false",
"D1","120","-478577_mir","0.841","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
