# Experiment File Name : card ARV7 _7 08.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.769","0.014","false","1.0","2741.09",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.775","0.011","false","2.0","2773.653",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.789","0.014","false","3.0","2764.157",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.8","0.016","false","4.0","2837.443",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.82","0.025","false","5.0","2814.309",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.819","0.014","false","6.0","2887.438",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.843","0.028","false","7.0","2784.635",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.838","0.014","false","8.0","2766.464",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.838","0.004","false","9.0","2792.081",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.859","0.015","false","10.0","2822.12",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.862","0.008","false","11.0","2890.081",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.867","0.004","false","12.0","2826.562",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.881","0.008","false","13.0","2882.85",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.868","-0.016","false","14.0","2876.519",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.893","-0.001","false","15.0","2851.464",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.882","-0.021","false","16.0","2817.336",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.906","-0.007","false","17.0","2869.76",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.904","-0.02","false","18.0","2945.348",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.921","-0.012","false","19.0","2922.729",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.917","-0.026","false","20.0","2854.048",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.953","0.0","false","21.0","2905.115",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.934","-0.029","false","22.0","2858.954",
"card ARV7 _7 08.02.22.sds","","A1","-478577_mir","154","2.95","-0.023","false","23.0","2984.356",
